"","PTL","p","NTL","p","TURB","p","MMI_BENT","p","XCMGW","p","XFC_NAT","p","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"XWIDTH",-0.311898578729966,0.0824741999874118,-3.78177149675379,14.3017956536594,1,0.000155716267845584,-0.197896521083364,0.0618694873643847,-3.19861258778239,10.2311224867199,1,0.00138090600697347,-0.341659737306537,0.0946901439112392,-3.60818690514192,13.0190127424376,1,0.000308344330510001,5.4038084631238,1.20322202749945,4.49111497264893,20.1701136975514,1,7.08512896221251e-06,0.0329726791317828,0.0161911385381027,2.03646451756237,4.14718773129054,1,0.0417037325894245,0.000955468480378383,0.0143843603165922,0.0664241203188063,0.00441216376012726,1,0.947040167368947
"XELEV",-0.325765712667412,0.0751594054865239,-4.33433062114658,18.7864219334089,1,1.46204305927909e-05,-0.190094153858276,0.0606424783588197,-3.13466993768781,9.82615561824368,1,0.00172047570474452,-0.270709755310559,0.0836352439221399,-3.23679040815108,10.4768121462989,1,0.00120882159288493,0.962527623794469,1.03900760429622,0.926391317844534,0.858200873777732,1,0.354242654457954,-0.0457480865375247,0.0144218618681192,-3.17213456597132,10.06243770463,1,0.00151322871582381,0.0206151306298309,0.0117267666776891,1.7579552144627,3.09040653605659,1,0.0787551298907896
"ACTIVE",-0.0285989315671795,0.0139973513492828,-2.04316737170743,4.17453290880986,1,0.0410358724850916,-0.0241286360544073,0.00779686607470469,-3.09465826695262,9.57690978921822,1,0.00197039777960225,-0.0306173943472306,0.0142579938352892,-2.14738445681265,4.61126000536054,1,0.0317626870344816,-0.0723858384554531,0.14448269006933,-0.501000074269927,0.251001074418472,1,0.616371070649521,0.0041227138879873,0.00292757128539861,1.40823689197579,1.98313114392162,1,0.159060935543255,0.00577985760148369,0.00167480214115027,3.45106891105002,11.909876628816,1,0.000558370981096799
"SQ_MILE",0.117390003926677,0.0473786302562955,2.47769940354236,6.13899433431417,1,0.0132232496874578,0.0958458377695114,0.0357625386468534,2.68006247308018,7.18273485961266,1,0.00736084210836188,0.141632032879176,0.0542431991557864,2.61105604174284,6.81761365312177,1,0.00902631007243449,1.46328004662221,0.667566685550979,2.19196086068089,4.80469241475692,1,0.0283823328725302,-0.0135384557216071,0.00921201732510774,-1.46965156966297,2.15987573621284,1,0.141656145674428,-0.00918759940660695,0.00814206758272644,-1.12841109623047,1.27331160209606,1,0.259146343739437
"STRAHLER",0.0299081748189606,0.0560473831765786,0.533623036863901,0.284753545471852,1,0.59360236663042,-0.0267074507927629,0.0413344245618592,-0.646130944747851,0.417485197760751,1,0.518194556405841,0.10847330494529,0.0649775188921228,1.66939745922555,2.78688787686871,1,0.0950386368570594,-1.18019887396615,0.802962017604,-1.46980660117375,2.16033144485393,1,0.141614140817705,-0.00242476267941663,0.0110929901145343,-0.218585129381812,0.0477794587868633,1,0.826973237724508,-0.0168179671219528,0.0100629197755153,-1.67128104935048,2.79318034591803,1,0.0946661777785377
"PURB",0.0455649794553739,0.021395982848346,2.12960441118022,4.53521494811826,1,0.0332042865711589,0.0396476513924974,0.0159316225186036,2.48861353237564,6.19319731352315,1,0.0128242284199569,0.00236986074863385,0.0245100093049432,0.0966895083208268,0.00934886101932323,1,0.922972971937469,-0.450133634870634,0.305486218624016,-1.4734989908813,2.17119927612822,1,0.14061653574605,-0.00639197366738863,0.00420851797770826,-1.51881819235316,2.30680870142291,1,0.128808265363993,0.000284093216019935,0.00371950808971041,0.0763792440204247,0.00583378891713158,1,0.939117382233932
"PWETL",0.0513417210686663,0.0192979651191212,2.66047330647286,7.07811821445461,1,0.00780309122155582,0.0601207911528417,0.0148744345542081,4.04188750394098,16.3368545945143,1,5.30226702303625e-05,0.0357025814230596,0.0218905279992347,1.63096026849182,2.66003139739892,1,0.102898703341992,-0.258755115110368,0.265991023079192,-0.972796420401488,0.946332875545948,1,0.330654492131326,-0.00160274026676655,0.00368127416885333,-0.435376500975417,0.189552697601598,1,0.663289164390909,0.00316246652525012,0.00317051540580963,0.997461333717298,0.994929112261091,1,0.31854063316005
"PFOR",-0.100785552859023,0.0302364855598776,-3.33324296765364,11.1105086814125,1,0.000858399446557667,-0.144717185816732,0.0230221130865732,-6.28600794690445,39.5138959085458,1,3.25733277553933e-10,-0.0650803442058415,0.0344903444908162,-1.88691487912423,3.56044776106039,1,0.0591717755020286,1.69902381461219,0.425352146043048,3.99439342299743,15.9551788176851,1,6.48600882212129e-05,0.034352263295059,0.00598226807213906,5.74234769836648,32.9745570889348,1,9.33728483273911e-09,0.0105692608038211,0.00502551953851271,2.10311804039848,4.42310549184955,1,0.0354554523469807
"RDDENS",0.0268853392343369,0.0356410309636436,0.75433674356283,0.569023922688974,1,0.450647044375178,-0.0217954183998877,0.0265917812042237,-0.819629878589174,0.671793137876104,1,0.412427135306943,0.032864141245718,0.0407078492264374,0.80731706219386,0.651760838909325,1,0.419483836366784,0.00846524061105714,0.504481437512723,0.0167800834314021,0.000281571199964814,1,0.986612058780494,-0.00945168720029163,0.00696485757480766,-1.3570539093978,1.84159531301185,1,0.174764081867914,-0.0111615345799737,0.00610328084170545,-1.82877617292387,3.34442229065407,1,0.0674331458250876
"POPDENS",-0.0149463613560967,0.0288629398931785,-0.517839187948736,0.268157424575406,1,0.604570473998345,0.0888943831787294,0.0223436662806783,3.97850478350551,15.8285003123762,1,6.93500163363622e-05,0.0387979818233532,0.0326967061912783,1.18660214874189,1.40802465939888,1,0.235384587958644,-1.32040281376743,0.399049768754127,-3.30886750765414,10.9486041832093,1,0.00093674154740743,0.00117708014286277,0.0055063366525775,0.213768285001569,0.0456968796725121,1,0.830727758155135,-0.00664110433595569,0.00473898446583592,-1.401377105967,1.96385779312843,1,0.161101334694451
