"","PTL","p","NTL","p","TURB","p","MMI_BENT","p","XCMGW","p","XFC_NAT","p","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ACTIVE5",-0.118986544746229,0.304887164907586,-0.390264197518105,4.67899015146896,1,0.0305336927854357,-0.595178443538516,0.252274479278328,-2.35924951759337,7.8776893730342,1,0.00500483858618001,-0.149431991488846,0.3457133114644,-0.432242515788212,6.23145262587392,1,0.0125500743012691,-1.7543672375004,4.02600132380052,-0.435759230164458,0.172511299702928,1,0.677889512493993,0.0455992431522153,0.0590319592350898,0.772450105723582,0.714925566319473,1,0.397813476775024,-0.00405475099072982,0.0487095356313675,-0.0832434745717158,6.33095897365931,1,0.011864814442269
"XWIDTH",-0.315026666468377,0.0829946531736582,-3.79574652609505,14.4076916903627,1,0.000147199837387146,-0.199285587316877,0.061178857404985,-3.25742578024411,10.610822713799,1,0.00112427654925812,-0.34555436667935,0.0949483373165066,-3.63939355280607,13.2451854322064,1,0.000273280874206074,5.32406517441341,1.20431400086439,4.42082809847936,19.5437210763046,1,9.83233707169428e-06,0.0334855082901129,0.0163186398005934,2.0519791293448,4.21061834726662,1,0.0401716907641498,0.00173648014491157,0.0144817178427926,0.119908436537851,0.014378033152952,1,0.904555681308175
"XELEV",-0.343333589001601,0.0753353914993998,-4.5574010059314,20.7699039288645,1,5.1790486743864e-06,-0.19733153364614,0.0606773645501939,-3.25214410858108,10.5764413029786,1,0.00114537933823146,-0.281752936422693,0.0839926408292744,-3.35449550866475,11.252640117652,1,0.000795098438773017,0.905537664362221,1.04685051772948,0.865011430978939,0.748244775724232,1,0.387032514760521,-0.0417620531138297,0.0144322731399128,-2.89365734066769,8.37325280519999,1,0.00380783458805101,0.021104654262892,0.0118549846996511,1.7802346268328,3.16923532657453,1,0.0750375707306229
"SQ_MILE",0.119352019263694,0.0474694473822776,2.5142913146331,6.32166081483945,1,0.0119271867194126,0.10891853382372,0.035482988716646,3.06959863763178,9.42243579615085,1,0.00214346612337983,0.143382901632677,0.0543335071910537,2.63894066562825,6.96400783670649,1,0.00831655354045756,1.46497139372396,0.669716856750825,2.18744888822325,4.78493263858915,1,0.0287097705819011,-0.0127638332431165,0.00927154443105937,-1.37666742990069,1.89521321254936,1,0.168615092919495,-0.00941780901408779,0.00819524680704218,-1.14917942507785,1.32061335102225,1,0.250482003027519
"STRAHLER",0.0291936446893309,0.0563439004471242,0.518133186692101,0.268461999151711,1,0.604365346999753,-0.0313283740783251,0.040772950868546,-0.768361705762463,0.590379710882203,1,0.442272324432248,0.108778176494532,0.0650411204445908,1.67245237706508,2.79709695355064,1,0.0944351511960029,-1.13637224006558,0.804344797666824,-1.41279242852303,1.995982446092,1,0.157716765147746,-0.00374491938119305,0.0111734366483924,-0.335162716632207,0.112334046620281,1,0.737502344888744,-0.0177091458924122,0.0101134728259014,-1.7510449869463,3.06615854630975,1,0.0799381611916904
"PURB",0.0469002530001927,0.0214400602105727,2.18750565714665,4.78518100004861,1,0.0287056306915951,0.0399344694600082,0.0158049723486923,2.52670289950317,6.38422754235771,1,0.0115138858806235,0.0049015382855499,0.0245020456643058,0.200046084016992,0.0400184357305334,1,0.841444539651593,-0.449374587278419,0.305866332029974,-1.46918617781829,2.15850802509232,1,0.141782298297989,-0.00616765465188093,0.00421833122560125,-1.4621077203348,2.13775898586262,1,0.143711693465329,0.000102304345879978,0.00374147254522099,0.0273433373206633,0.000747658095831576,1,0.978185891594009
"PWETL",0.0489894685841835,0.0193982489262637,2.52545829112728,6.37793958022351,1,0.0115547496407404,0.0483768494513708,0.0149343071457946,3.23930993109335,10.49312882968,1,0.00119819296016328,0.0347469686280964,0.0220862365073732,1.57324081069659,2.47508664844126,1,0.115663068855641,-0.254675280903439,0.268586342379881,-0.948206370609989,0.899095321265367,1,0.343024404618109,-0.00115486028554319,0.00372753839394656,-0.309818481660352,0.0959874915783262,1,0.756698996352179,0.00310712654635794,0.00322597164921436,0.963159904742076,0.927677002102764,1,0.335467283005002
"PFOR",-0.100841270547181,0.0303651944811419,-3.32094927334674,11.0287040761422,1,0.000897118410773726,-0.139288255858063,0.0227068796858931,-6.13418742622736,37.6282553800858,1,8.55955583148024e-10,-0.0633406622636116,0.034491118164713,-1.83643400486836,3.37248985423683,1,0.066293494213511,1.64275618212373,0.428733212050928,3.83165132989182,14.6815519138617,1,0.000127286043705553,0.0349597322007055,0.0059739737612526,5.85200631905275,34.2459779582333,1,4.85678170515644e-09,0.01051692112024,0.00507374798602169,2.07281109531147,4.29654583684635,1,0.0381898634450837
"RDDENS",0.0322707973958066,0.0358179126781915,0.90096811854297,0.81174355063086,1,0.367605271030298,-0.0307859829169718,0.0265184114390694,-1.16092862454103,1.34775527127872,1,0.245670926946075,0.0326646243107875,0.0408476047766996,0.799670494496661,0.639472899768534,1,0.423901732249709,0.0307479615170355,0.505791455309443,0.0607917773111131,0.00369564018864396,1,0.951525038965994,-0.0102396577037287,0.00702093709969896,-1.45844601059989,2.12706476583473,1,0.144717646310623,-0.0108046953404387,0.00614929627218507,-1.7570620868133,3.08726717691671,1,0.0789072271080085
"POPDENS",-0.0194747487782556,0.028827880548438,-0.675552569518011,0.456371274182388,1,0.499324764018134,0.0951380676257142,0.0223012107402924,4.26604944160385,18.1991778382085,1,1.98964705578814e-05,0.0348742693820361,0.0328041881460348,1.06310417519818,1.13019048732379,1,0.287734711249165,-1.37883622954431,0.400135734052218,-3.44592125172298,11.8743732730761,1,0.000569116178492491,0.00082098232817836,0.0055243489902635,0.148611597425383,0.022085406889324,1,0.881860121216191,-0.00601236960811533,0.00477609543120487,-1.25884620496341,1.58469376775078,1,0.208085887551054
