"","PTL","p","NTL","p","TURB","p","MMI_BENT","p","XCMGW","p","XFC_NAT","p","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ACTIVE10",-0.555283019696105,0.363996759524743,-1.52551638212691,2.37319910383572,1,0.123433870229482,-0.361828430623863,0.237482806819847,-1.52359842579401,3.01312430651672,1,0.0825929545035485,-0.362909140943611,0.372271015067254,-0.974851992917173,0.409201676065722,1,0.522374981374651,-4.57065675898524,4.524718909567,-1.01015264159749,0.611749667007607,1,0.434129789166955,-0.0700399797707966,0.0679725475808222,-1.03041569374042,1.2911192556922,1,0.255841788523448,0.0442158200923879,0.057681395538357,0.76655253708252,6.20191442070293,1,0.0127612211661981
"XWIDTH",-0.312693962884617,0.0828843354573279,-3.77265452101747,14.2329221349536,1,0.000161519871001821,-0.1995614252577,0.062268143586705,-3.20487192588007,10.2712040612942,1,0.00135122590858583,-0.352969839326472,0.0952653612049758,-3.70512256356234,13.7279332110187,1,0.000211288540616919,5.38654672578704,1.20405388625597,4.47367579414293,20.0137751111004,1,7.68862908643871e-06,0.0341911124137052,0.0163703332973323,2.08860209457537,4.36225870946461,1,0.0367435564876263,0.00252115144343678,0.0144683557445966,0.174252796098019,0.0303640369479776,1,0.861666794870126
"XELEV",-0.336280305974273,0.075363520645025,-4.46210982576318,19.9104240971724,1,8.11566103810174e-06,-0.192573716359119,0.0608003794055618,-3.167311096442,10.0318595816446,1,0.00153855631738487,-0.286176637477031,0.0839381154666647,-3.4093764898818,11.6238480497588,1,0.000651115536391676,0.843018068807392,1.03275221552675,0.816282992312357,0.666317923538415,1,0.414338299481297,-0.0431306505731201,0.0145000179213506,-2.97452394935404,8.84779272528078,1,0.00293443548452496,0.0217885898626582,0.0118055894444979,1.84561643152964,3.40630001233221,1,0.0649479189504011
"SQ_MILE",0.110612999824094,0.0477448516443282,2.31675240396802,5.36734170129162,1,0.0205172231272063,0.0895562092631034,0.0361295131592232,2.47875494110391,6.14422605804706,1,0.0131841853728498,0.139518183971128,0.0546758107885373,2.55173507185334,6.51135187692639,1,0.0107187989056441,1.45548144869464,0.670208445694917,2.17168473188292,4.7162145746934,1,0.0298794509459574,-0.014664040710296,0.00931878135049863,-1.57360068433319,2.47621911373388,1,0.115579794954258,-0.0096000207667488,0.00820932714625029,-1.1694040931398,1.36750593305213,1,0.242240861506989
"STRAHLER",0.0299866673383208,0.0563381840291243,0.532261872743698,0.283302701176628,1,0.594544635205369,-0.0222874196351607,0.0416555787241342,-0.535040451190466,0.286268284410097,1,0.592621885917123,0.105514399848912,0.0654262167749367,1.61272353882048,2.60087721266564,1,0.106804584214992,-1.16859816102147,0.803382720514053,-1.45459708204046,2.11585267108063,1,0.145780839311635,-0.00177017403619281,0.0111958251234804,-0.158110189885006,0.0249988321454727,1,0.87436997124557,-0.016714915015539,0.0101191862791486,-1.65180426117676,2.7284573172417,1,0.0985744597559271
"PURB",0.0490019942039876,0.0215643361764673,2.27236274759352,5.16363245665076,1,0.0230646097789667,0.0406389652280705,0.0161084557331288,2.52283433628538,6.36469308834049,1,0.011641322886036,0.00438321985294427,0.024694837684932,0.177495390286318,0.0315046135728923,1,0.859119285767385,-0.473355574347642,0.307255713311219,-1.54059161096276,2.37342251176882,1,0.123416210930695,-0.00576639434949743,0.00425357348036905,-1.35565880690913,1.83781080075029,1,0.175207751667193,0.000641208840052328,0.00375629589431586,0.170702430823574,0.0291393198890771,1,0.864457751364481
"PWETL",0.0519701176539711,0.0194107718936698,2.67738541973797,7.16839268582546,1,0.00741992264083304,0.0601811159802655,0.0149872829570967,4.01547873303937,16.1240694554915,1,5.93252485339432e-05,0.0350877290670956,0.0220074283611421,1.59435843622006,2.54197882314608,1,0.110855776162522,-0.266354894882688,0.266605779909715,-0.999058966286808,0.998118818118065,1,0.317766127357471,-0.00275686973983433,0.00372489220482369,-0.740120676851863,0.547778616303659,1,0.459226773471846,0.00304139698263857,0.00319946866645393,0.95059439541549,0.90362970459534,1,0.341810314814372
"PFOR",-0.102857432353693,0.0302672253660869,-3.39831058544733,11.5485148351634,1,0.000678033967753898,-0.149554344199307,0.0232375483315243,-6.43589168984837,41.4207018434594,1,1.2275054467013e-10,-0.068401731404801,0.0346296208060233,-1.97523766685033,3.90156384054433,1,0.048241183235231,1.76600229611429,0.422200575886846,4.18285146202073,17.496246353329,1,2.87875488578873e-05,0.0354545052132356,0.00596225904962053,5.94648855713374,35.3607261601225,1,2.73955676544483e-09,0.011698632227871,0.00503797212854153,2.32209149423335,5.39210890759088,1,0.0202280095850402
"RDDENS",0.0395040726336246,0.0354954901312832,1.1129321637063,1.23861800101198,1,0.265737565044136,-0.0186618920319042,0.0266838286769914,-0.699370853328695,0.489119590485707,1,0.484320297997135,0.0430441589244384,0.040638083830713,1.0592073953031,1.12192030626477,1,0.289505337806211,0.0355799974279133,0.503895851852919,0.0706098240282768,0.00498574724930422,1,0.943708291487127,-0.0111158530595027,0.00699073644978617,-1.59008326795708,2.52836479903707,1,0.111816036983324,-0.011919792910047,0.00613488995038324,-1.94295138241271,3.77506007441946,1,0.0520220327914307
"POPDENS",-0.0223129561916088,0.0288649819786591,-0.773011263547835,0.59754641357182,1,0.439515714696831,0.0839383440383139,0.0223511614155358,3.75543545490975,14.1032954559932,1,0.000173040353355764,0.0297604882051621,0.032734016932281,0.909160897262611,0.826573537111356,1,0.363265201442075,-1.35514023116975,0.398645267315456,-3.39936365053444,11.5556732285748,1,0.000675428473007669,0.000954469632355614,0.00553966450552224,0.172297371330727,0.0296863841674784,1,0.863203750825029,-0.00597220934979957,0.00476856430790982,-1.25241245879671,1.56853696694922,1,0.210419608828812
