"","STATE..Intercept.","STATE.ACTIVE"
"al",0.0222798047769321,-0.00973987041387055
"ar",-0.000947903094500389,0.000414386633778495
"az",-0.0207035467949358,0.00905079127644116
"ca",0.103673671552579,-0.0453221262932365
"co",-0.0235261169802105,0.0102847099811313
"ct",0.0221246377166618,-0.0096720373634907
"de",0.0176735045749537,-0.0077261738149974
"ga",-0.0266474414406147,0.0116492325098042
"ia",0.0432125313956144,-0.0188908502630369
"id",0.0325760575300968,-0.0142409945629133
"il",0.00704981479306978,-0.00308190682192794
"in",0.000872910513931133,-0.000381602773064509
"ks",-0.020405826650027,0.00892063952953864
"ky",0.00443963837004819,-0.00194083847357078
"la",0.0444948210014317,-0.0194514177524811
"ma",0.00594915485141691,-0.00260074079564171
"md",-0.209229165961258,0.0914669128880368
"me",-0.0436062162489819,0.0190629540936882
"mi",0.022978216473827,-0.0100451890347263
"mn",-0.0101435395942046,0.00443436384508244
"mo",0.0524569747573703,-0.0229321639597153
"ms",0.0338137811627187,-0.0147820795528967
"mt",0.089220308937482,-0.0390036742133743
"nc",-0.0372312489988238,0.0162760645210949
"nd",0.029129754770144,-0.012734404066032
"ne",-0.0166616050457479,0.00728381041090845
"nh",0.0562230862871718,-0.0245785625158853
"nj",0.000763903359428825,-0.000333949053951173
"nm",-0.0289276863486416,0.0126460675553885
"nv",0.00943730358969329,-0.0041256247526813
"ny",-0.0071859190694975,0.00314140636331095
"oh",-0.128983248892247,0.0563864962791965
"ok",-0.0804009149689258,0.0351481756943146
"or",0.00505462602187972,-0.00220968732394992
"pa",-0.00396198873971445,0.00173202848451269
"ri",0.0244803840424118,-0.0107018787002553
"sc",-0.021921211372689,0.00958310722032537
"sd",-0.0322721442307004,0.0141081354147398
"tn",0.0052067431987326,-0.00227618709132547
"tx",0.0717853982309735,-0.0313818044270238
"ut",-0.0461601248329922,0.0201794243054144
"va",-0.00486046241122891,0.00212480650066622
"vt",0.0458688917285786,-0.0200521084356825
"wa",0.050960463944714,-0.0222779472209347
"wi",-0.070539600797088,0.0308371898976113
"wv",0.0529861645233416,-0.0231635053003322
"wy",-0.0203966356321259,0.00891662157199146
