"","X.Intercept."
"al",-0.223814266997563
"ar",-1.05068650365851
"az",-2.24301471520175
"ca",4.60440383803086
"co",-0.80536809421671
"ct",1.40652292600931
"de",1.98689141419712
"ga",-1.95874762320136
"ia",-1.65331840153065
"id",0.417601893830095
"il",-0.649810510705594
"in",0.335144957766074
"ks",-1.31014033771711
"ky",-2.00957283799823
"la",2.48530534017223
"ma",0.176319262533865
"md",-2.29531300918382
"me",1.94057317652909
"mi",-0.16933417046951
"mn",-0.20676084814805
"mo",2.25411786039905
"ms",2.96707789346226
"mt",3.83132781240492
"nc",1.64139516965774
"nd",0.326760596874058
"ne",-1.82819211722757
"nh",3.00296180798582
"nj",0.267645250325836
"nm",-2.5712091121486
"nv",-0.763167499675434
"ny",0.445610536159868
"oh",-0.781157095852919
"ok",-4.13568094069942
"or",-0.695397785683902
"pa",-0.292426534164527
"ri",1.79425274666194
"sc",-1.37671045653072
"sd",-0.393661680881979
"tn",-0.722159765892218
"tx",-0.601992389116352
"ut",0.372039284555149
"va",-0.242529538711949
"vt",1.53686408357798
"wa",1.35194532148293
"wi",-3.14388624351458
"wv",2.43493880160867
"wy",-3.4556474950948
