"","fdat_MMI_BENT.STATE..Intercept.","fdat_MMI_BENT.STATE.fdat_MMI_BENT.ACTIVE"
"al",-0.0538347666654602,0.0489537859386962
"ar",0.0536227533745593,-0.0505814099757577
"az",-0.00177563171457704,-0.00865305174076017
"ca",0.16621561349328,-0.0920570026717553
"co",0.0246565533190474,-0.0236405988759148
"ct",0.0521355124844946,-0.0348754451882568
"de",0.0356614378900217,-0.0238553044402845
"ga",-0.105202014698549,0.0731163243290115
"ia",0.195682961580771,-0.146201449399262
"id",0.216816954870844,-0.164073042043842
"il",-0.0855078969943724,0.0779470912529331
"in",-0.102927253359249,0.089492266852427
"ks",-0.0384675007446465,0.0257323875764746
"ky",0.0223986547078263,-0.0234548962422787
"la",0.0891849439911428,-0.0596592318279386
"ma",0.00732929553022663,-0.00490284706818552
"md",-1.53253150582951,1.23308314500945
"me",0.11508611543444,-0.105370907577717
"mi",0.160328459647253,-0.138083586109666
"mn",0.00898171666956524,-0.0123182037227615
"mo",0.187363324315953,-0.140885547622405
"ms",0.145946867405539,-0.111979252099738
"mt",0.263922751273587,-0.195065442253358
"nc",0.0509574549435263,-0.0681223716023023
"nd",0.101905482842105,-0.0749466957779525
"ne",0.0357833995531529,-0.0390644413269005
"nh",0.246184748616558,-0.187609624726248
"nj",-0.0835244418549298,0.073347538668424
"nm",-0.0289926854134489,0.0232090086536819
"nv",0.233171149050169,-0.185192398694025
"ny",0.0483578622538377,-0.0492255870679619
"oh",-0.408485460122094,0.283298948898792
"ok",-0.205944574848098,0.137764229977979
"or",0.10137805146135,-0.0820237597379613
"pa",-0.0429459583195555,0.0287281997252115
"ri",0.0551330424417685,-0.0368806080176459
"sc",-0.162205943270364,0.129847893955149
"sd",-0.201278091509443,0.165665751309164
"tn",0.0680843574265841,-0.0556102034872567
"tx",0.15748448447877,-0.107460170992092
"ut",-0.263997685954854,0.229399631352552
"va",-0.00203901183024954,0.00185925508482812
"vt",0.269336351516236,-0.216103434787666
"wa",0.107829742191463,-0.0721314529051699
"wi",-0.143028870720432,0.0820618059617338
"wv",0.252080893540741,-0.205998029536154
"wy",-0.0103316424543975,0.0125187329722656
