"","STATE..Intercept.","STATE.ACTIVE5"
"al",0.018062890208772,-0.0261600317272686
"ar",0.112270266536287,0.0408655741812693
"az",-0.361138767409764,-0.111709425516716
"ca",-0.870115828290404,-0.350174683181743
"co",-0.117148933458359,0.0183548783043043
"ct",-0.223344783511457,-0.0443390420581883
"de",0.151398431786492,0.0300560475556425
"ga",-0.37510106798083,-0.113587078857382
"ia",1.20288623323227,0.247356708692155
"id",0.47988154574325,0.0771896335146828
"il",0.227028677085493,0.0777889087985146
"in",0.378447076870336,0.0751303907543089
"ks",0.450275630719309,0.0893899996872621
"ky",0.388272318728206,0.102068794103883
"la",-0.312339856280815,-0.0711073173657851
"ma",0.0676651482375672,0.0204901750083786
"md",0.181276816672404,0.0424356040487858
"me",-0.225604026516055,0.0161551914251521
"mi",0.18300212655844,0.0497399816786391
"mn",0.365697492008464,0.0442033783772024
"mo",-0.102024385190292,-0.0537081123658708
"ms",-0.302081398136953,-0.0843604029827986
"mt",-0.231448641812024,-0.0612935237275977
"nc",-0.100511465437777,0.00739502614773069
"nd",-0.0961438507471719,0.0677788859520839
"ne",0.529346494425572,0.105087372584576
"nh",-0.276142688021157,-0.0548206323234014
"nj",0.266451263124841,0.0528966630713527
"nm",0.249811549091824,0.0518963745251392
"nv",0.276516713346907,0.0518554757367175
"ny",0.186590754336634,0.0283251602823051
"oh",-0.231670824279758,-0.073118718145223
"ok",-0.0512132171943626,-0.0101669936293789
"or",-0.360263063021886,-0.102124109081624
"pa",0.559097245179125,0.0546431776759319
"ri",-0.232834220529057,-0.0462229121017003
"sc",-0.192488119008442,-0.0382132892035022
"sd",0.0211918192935174,0.00550975285428208
"tn",-0.153036861818796,-0.0363061427636755
"tx",-0.461217765050173,-0.0915622633357554
"ut",0.204958446227702,0.077562496755476
"va",-0.0730675604684193,-0.0156040260385298
"vt",-0.424685526288982,-0.0650261660644612
"wa",-0.488641779471455,-0.0970065567269516
"wi",0.373755659486494,0.164559530748324
"wv",-0.608233526495681,-0.127926029693222
"wy",-0.00338644248079112,0.0758022744265211
