"","fdat.STATE..Intercept.","fdat.STATE.fdat.ACTIVE"
"al",0.234405384561252,0.0329046013846322
"ar",0.41071420592303,0.057653911211121
"az",-0.822408291749364,-0.115445372835955
"ca",-1.22856536269709,-0.172459577283944
"co",-0.242915740125002,-0.0340992405691836
"ct",-0.0791408430595642,-0.0111093774530518
"de",0.337591469663487,0.0473893241015824
"ga",-0.32831340289651,-0.0460869176352855
"ia",1.04982241913633,0.147368578119437
"id",0.00907986706864228,0.00127458422970251
"il",0.162325203845218,0.0227863627672358
"in",0.292301693840346,0.0410317823452394
"ks",0.429236766717847,0.0602540113782603
"ky",0.644656366569271,0.0904934876463316
"la",-0.0481205522512154,-0.00675491133959367
"ma",0.160225583204006,0.0224916290076537
"md",0.493624015806766,0.0692923565062507
"me",0.344530936709136,0.0483634501754619
"mi",0.197036236748556,0.0276589159445913
"mn",0.382214350729895,0.0536532506614279
"mo",-0.136240305942593,-0.0191247012859892
"ms",-0.00528852397547631,-0.000742375324064482
"mt",-0.674028074129172,-0.0946165342694009
"nc",0.228941793340461,0.0321376510366905
"nd",-0.128870352699382,-0.018090145812167
"ne",0.457061901558216,0.0641599582152313
"nh",0.116040489881188,0.0162891568005777
"nj",0.283403460500018,0.0397826949079393
"nm",-0.113930530334536,-0.0159929717195471
"nv",-0.382488120863413,-0.0536916810802993
"ny",0.459429422685426,0.0644922984432784
"oh",-0.234018374097971,-0.0328502748807861
"ok",-0.308314621175063,-0.0432795932986275
"or",-0.561457852098702,-0.0788145155119168
"pa",0.82894393343852,0.116362812019261
"ri",0.112304481101824,0.0157647154363805
"sc",-0.14015375960667,-0.0196740514346417
"sd",0.0393867582276984,0.00552890703317716
"tn",-0.355409012917194,-0.0498904575952266
"tx",-0.31304001141982,-0.0439429188561081
"ut",-0.0658736012787337,-0.00924699147122425
"va",0.126722546991504,0.0177886480850494
"vt",0.139116331011391,0.0195284226366661
"wa",-0.779623605031289,-0.109439482380582
"wi",0.187871399318832,0.0263724040201981
"wv",-0.444510989712141,-0.062398126881528
"wy",-0.734275090516406,-0.103073695194035
