"","STATE..Intercept.","STATE.ACTIVE10"
"al",0.10159380112274,-0.0247051604202829
"ar",0.166137806092962,-0.0336265459684423
"az",-0.463994090121102,0.0707398225493317
"ca",-0.927463428569742,0.185514054095208
"co",-0.125277886810805,0.0322983656809272
"ct",-0.227205959384736,0.0459868335644195
"de",0.2012004877531,-0.040723286345294
"ga",-0.620201153061733,0.135171705783759
"ia",1.28165805394224,-0.25940954969995
"id",0.47456152213389,-0.102951543882441
"il",0.152383364999313,0.0527770609581195
"in",0.441533755953533,-0.0893671072849168
"ks",0.523412312110689,-0.105939452238766
"ky",0.4505402377972,-0.111604024139939
"la",-0.299087921777751,0.0428260695107624
"ma",-0.0218700609615941,0.00202684309712222
"md",0.233280680790114,-0.0472163664647705
"me",-0.259650454756552,0.0800413084346592
"mi",0.13588147807037,0.0189690596274836
"mn",0.345881731329219,-0.0434353104092771
"mo",-0.0403283656378853,-0.029159041139837
"ms",-0.318139601432569,0.0643919417472516
"mt",-0.30206710407223,0.0623171952349145
"nc",-0.166724621772853,0.0749800221953912
"nd",-0.139197300908677,0.0506794549816683
"ne",0.588268047405179,-0.11906635222309
"nh",-0.255068560423574,0.0516262666150076
"nj",0.317179948197354,-0.064197706465189
"nm",0.253941424190628,-0.0513981325181323
"nv",0.302874993543817,-0.0533809033054209
"ny",0.214171623782627,-0.0528406840063582
"oh",-0.181477786426314,0.0119882132417534
"ok",-0.00245243849466544,0.000496377300958824
"or",-0.372926921050498,-0.0425836070086573
"pa",0.685462505991282,-0.186578824258459
"ri",-0.196322602535837,0.0397359949193117
"sc",-0.19850618567652,0.0401779554855601
"sd",0.0362080402424209,-0.0251315277564651
"tn",-0.232392097339417,0.0355924375763127
"tx",-0.404351196032404,0.0818413003068677
"ut",0.196215149716201,-0.0397142463043281
"va",-0.0496698934262978,0.0100532623719159
"vt",-0.486501217060616,0.102198543778813
"wa",-0.498616511139376,0.100920744210807
"wi",0.365716853547805,-0.00463183915748226
"wv",-0.613943973900901,0.124263199002851
"wy",-0.064666485939094,0.0100471787265595
