"","STATE..Intercept.","STATE.ACTIVED"
"al",0.0554044283350652,0.000791206688484008
"ar",0.114019824891399,0.00162826785136743
"az",-0.348598700944383,-0.00497818740821004
"ca",-0.936475049118934,-0.0133733955483725
"co",-0.127350263519911,-0.00181863407665403
"ct",-0.227949308452453,-0.00325524556874558
"de",0.168450592596981,0.00240557011919283
"ga",-0.446046197292214,-0.00636979299687334
"ia",1.21585280161005,0.0173630684485914
"id",0.487273914578589,0.00695854819653506
"il",0.236504487488391,0.00337741839949881
"in",0.393131842883113,0.0056141459615131
"ks",0.45634752602012,0.00651690181457544
"ky",0.290860608444395,0.00415365464610839
"la",-0.314834716947548,-0.00449601854294246
"ma",0.0993585171152979,0.00141889605645395
"md",0.201121487388801,0.00287212905609996
"me",-0.212568150896474,-0.00303559388573746
"mi",0.174569135473653,0.00249294639429945
"mn",0.344956072502116,0.00492616859618144
"mo",-0.091432880263492,-0.00130571347068765
"ms",-0.317335001460364,-0.00453172403062928
"mt",-0.175759193296416,-0.00250994106124185
"nc",-0.0564108847681219,-0.000805579449820983
"nd",-0.104519703187417,-0.00149260069340067
"ne",0.531687375833918,0.00759279764930855
"nh",-0.25718407086398,-0.0036727345773306
"nj",0.265994099552789,0.00379854678989868
"nm",0.242676525485602,0.00346555859301883
"nv",0.302436739223084,0.00431896838218178
"ny",0.214816922563079,0.00306770764060311
"oh",-0.214041654130512,-0.00305663637680367
"ok",-0.0414017379490364,-0.00059124032843942
"or",-0.423715416497596,-0.00605089679467571
"pa",0.654111978246338,0.00934109049206046
"ri",-0.234894980357675,-0.00335443370774427
"sc",-0.176923305694867,-0.00252656527191852
"sd",0.0143402998384109,0.000204787617620534
"tn",-0.205435902338075,-0.00293374134780159
"tx",-0.4412641681261,-0.00630150289924886
"ut",0.200435758898127,0.00286233646816401
"va",-0.0798443321273774,-0.00114022240682458
"vt",-0.477671996263005,-0.00682142736109172
"wa",-0.504474251260854,-0.00720417878041372
"wi",0.382191928954112,0.00545791781633666
"wv",-0.580838655764461,-0.00829470584571933
"wy",-0.049572346405502,-0.000707921246813628
