"","fdat.STATE..Intercept.","fdat.STATE.fdat.ACTIVE"
"al",0.224644206894351,0.0261922676058012
"ar",0.426095708631879,0.0496803945245498
"az",-0.811479996460574,-0.0946140633577076
"ca",-1.23165747848389,-0.143604425509625
"co",-0.213844430662377,-0.0249330736427588
"ct",-0.0740560855827138,-0.00863452852061437
"de",0.338829751127879,0.0395056682611003
"ga",-0.277032242234817,-0.0323004217395984
"ia",1.06248097083335,0.123879383754666
"id",0.0341343521467742,0.00397987599295573
"il",0.154840133428775,0.0180535000966759
"in",0.288576275117244,0.0336463918969905
"ks",0.436317342993998,0.0508721803546115
"ky",0.599099526924476,0.0698516794563331
"la",-0.0466992282170572,-0.00544487079971968
"ma",0.138826595532142,0.0161864104632324
"md",0.476451969983875,0.0555516550889447
"me",0.344314848153914,0.0401452001285644
"mi",0.198157532867327,0.0231040684321183
"mn",0.399487225599484,0.0465779930969745
"mo",-0.129206052421657,-0.0150647085366645
"ms",-0.00226421947087426,-0.000263995422447349
"mt",-0.674959043315608,-0.0786964779990227
"nc",0.243523726952211,0.028393514851212
"nd",-0.134153479224872,-0.015641551040577
"ne",0.456309689058908,0.0532031769355607
"nh",0.125179709888239,0.0145952593460389
"nj",0.277574502373245,0.0323636462618601
"nm",-0.117849104727961,-0.0137405514738662
"nv",-0.35740534542893,-0.0416714794502483
"ny",0.437350731452443,0.0509926677128971
"oh",-0.235628944726768,-0.027473027064782
"ok",-0.304694688286087,-0.0355257094050354
"or",-0.576471077544883,-0.0672133278609721
"pa",0.843386983501174,0.0983342409425922
"ri",0.12212377761127,0.0142389546049112
"sc",-0.142792355459829,-0.0166487960583112
"sd",0.0298438441699204,0.00347962657791749
"tn",-0.346129388555838,-0.0403567654675719
"tx",-0.3129728131587,-0.0364908928163332
"ut",-0.0864949338609576,-0.0100848291863505
"va",0.134943304166959,0.0157336402447771
"vt",0.111223749570451,0.0129680718374319
"wa",-0.81211016021287,-0.0946875369534183
"wi",0.193438885728232,0.0225539003671827
"wv",-0.450988832631466,-0.0525827946102461
"wy",-0.758265444037845,-0.0884095419198017
