"","STATE..Intercept.","STATE.ACTIVE5"
"al",0.0203125534371847,-0.0239181863558782
"ar",0.114299703798786,0.0433371785727314
"az",-0.360203721006154,-0.112395413262509
"ca",-0.868254623958235,-0.355210878837173
"co",-0.115140479434677,0.0219269847674016
"ct",-0.227246471473371,-0.0466660620212868
"de",0.149473183783203,0.0306949754586773
"ga",-0.362684690284424,-0.112331808122992
"ia",1.20900835971169,0.257665115546949
"id",0.496565683358237,0.0870530789968915
"il",0.24021969043984,0.0843177680312255
"in",0.381217882863709,0.0782847682958464
"ks",0.448499271718471,0.0921012973042739
"ky",0.402997210189276,0.109948542817481
"la",-0.310053880986421,-0.0709623330302229
"ma",0.0951006195650085,0.0294548538593581
"md",0.173669353075539,0.0362745183293189
"me",-0.229720615745313,0.00979980236740122
"mi",0.194909492409406,0.0574406539247301
"mn",0.370506368826355,0.0494586269842659
"mo",-0.0994190441131131,-0.0526278211113402
"ms",-0.30369165776674,-0.0863121298423524
"mt",-0.22782816488567,-0.0636621058648141
"nc",-0.0876371514606933,0.0119878825547278
"nd",-0.0948111977169976,0.0713029342826848
"ne",0.534183173587738,0.109696863268103
"nh",-0.272509404302171,-0.0559610042791763
"nj",0.266930307710838,0.0548153122652767
"nm",0.245267610992407,0.0506640636592766
"nv",0.287244803590223,0.0567479338125404
"ny",0.160268011801222,0.017082310571884
"oh",-0.232331826686964,-0.0744440078366396
"ok",-0.0523151991504943,-0.0107431561528075
"or",-0.367330664626277,-0.106671488503594
"pa",0.552029984914906,0.0499443092136906
"ri",-0.245769581841269,-0.0504698641734218
"sc",-0.194844769865045,-0.0400122301397804
"sd",0.0215571941971346,0.0110690897122362
"tn",-0.188187246211184,-0.0499759899982725
"tx",-0.463250707014526,-0.0951305693979854
"ut",0.20715072564107,0.0767300581864364
"va",-0.0726998275479599,-0.0152901874420808
"vt",-0.44207481967496,-0.0714017279930854
"wa",-0.491716404734,-0.100976125576013
"wi",0.380260840561705,0.171399099006596
"wv",-0.617683167971585,-0.136893004798092
"wy",-0.0242667077121849,0.062858072950277
