"","STATE..Intercept.","STATE.ACTIVE5"
"al",-0.134443316167826,-0.016616399134055
"ar",0.139266923580265,-0.0312171731787273
"az",0.216160400308578,-0.336127740114803
"ca",-0.12858208511685,0.405234922166316
"co",-0.179822656254259,0.097113362455588
"ct",-0.20887421651468,0.0926488625900199
"de",-0.034683300905978,0.015384227088557
"ga",-0.00103924848601959,-0.000292908355997279
"ia",0.149950852954804,-0.0113450612340879
"id",0.13633632373657,-0.178440117663486
"il",0.482743767079356,-0.0515345386304686
"in",0.563162332848918,-0.249797942812762
"ks",0.33705349603749,-0.149504441289759
"ky",0.135733831925821,-0.335085654035596
"la",0.167027933349886,-0.0799779121115666
"ma",0.183547272181888,0.0517321222652426
"md",0.153850378435957,-0.0344081827210922
"me",-0.920879623397502,0.630175844485823
"mi",-0.416068189406665,0.159358102103533
"mn",-0.172675448927364,0.175213663534754
"mo",-0.425138890630644,0.119099672293685
"ms",-0.0869818006876674,-0.0244967008130673
"mt",-0.119358796405156,-0.299075679356616
"nc",0.242316387525151,0.0223381972901747
"nd",0.239948200584016,0.0830888797129147
"ne",0.38273462058352,-0.16976689541954
"nh",-0.232173344380834,0.102983492359831
"nj",-0.273178388659569,0.121171810555683
"nm",0.288948465573069,-0.122909471061887
"nv",0.0588980769750947,0.134803324467076
"ny",0.151330670077105,-0.00985497559264651
"oh",-0.345874900579408,0.0830983604435254
"ok",0.267966009654583,-0.118859792374319
"or",0.500878799635535,-0.0881048988934844
"pa",0.307777514765805,-0.335840311887485
"ri",-0.180283627126752,0.0799671365648089
"sc",-0.00385485532964895,0.00170987098216572
"sd",0.729148366666997,-0.449287086182087
"tn",-0.173258531464617,-0.0435297642398163
"tx",-0.395255649563178,0.175320759906881
"ut",0.251130503461326,0.0766066270190489
"va",0.0493787667684516,-0.0172586069153838
"vt",-0.961595254581954,0.221460318793763
"wa",-0.511465257311564,0.226867035744921
"wi",0.699540498483278,-0.265914374209854
"wv",-0.97001488478002,0.32105736752495
"wy",0.0406718734846503,0.0228126678793755
