"","STATE..Intercept.","STATE.ACTIVED"
"al",-0.131112517861379,-0.00543898364797028
"ar",0.149415574482218,-0.00354863944544782
"az",0.228574575058163,-0.0404824212836962
"ca",-0.168749409323877,0.0619509938870247
"co",-0.183698067529132,0.0140411381126265
"ct",-0.223594681144962,0.0114838846878472
"de",-0.0256141476121714,0.00131554970829099
"ga",-0.103672893031634,0.00977541080020621
"ia",0.167015546341602,2.01879899025745e-05
"id",0.160314948925123,-0.0284960345022606
"il",0.487976413166635,-0.00284697962508889
"in",0.587321101561188,-0.0301649742763572
"ks",0.341905418066594,-0.0175603568703916
"ky",0.00730328608346407,-0.0383058586673129
"la",0.186604392723418,-0.00498881032022612
"ma",-0.149395301880285,0.0482870051962002
"md",0.16557970115775,0.00111169067492657
"me",-0.943979157829743,0.0760735464204134
"mi",-0.49513157375635,0.0252170991506044
"mn",-0.258413069138296,0.0386917395319419
"mo",-0.379027306243938,0.000906584278601141
"ms",-0.0969179126664783,-0.00309615267797341
"mt",0.0746069146574782,-0.0731620916154439
"nc",0.209943233364307,0.00675320163256147
"nd",0.230765175064662,0.0178280548248833
"ne",0.454214978184636,-0.0320117898403277
"nh",-0.264629891753367,0.013591464458329
"nj",-0.285544799637975,0.0146656599140253
"nm",0.271577880802477,-0.00749943470581259
"nv",0.0406952211159274,0.0310755232523314
"ny",0.254538019796024,-0.0217421806161862
"oh",-0.341442621599808,0.00385165443670484
"ok",0.279144023465368,-0.0143369142788316
"or",0.515475373644102,-0.00595567075277499
"pa",0.362763382861797,-0.0354161082452105
"ri",-0.118010250484411,0.00606103911599006
"sc",0.000362544352275742,0.00136765170821703
"sd",0.845271145657786,-0.0841518577052709
"tn",-0.149748066315771,0.000275944215033034
"tx",-0.388115995350733,0.0234787818703748
"ut",0.265464282922204,0.0100749139975461
"va",0.045381649751559,0.00230172150501819
"vt",-0.889426094633247,0.000858608243247676
"wa",-0.517598850632963,0.0265840201779107
"wi",0.646923897179409,-0.0112388724772862
"wv",-0.949403928305434,0.0233302915927971
"wy",0.0840878563452343,-0.0105292298296641
