"","STATE..Intercept.","STATE.ACTIVE0"
"al",-0.0494592562940928,-0.338154951591255
"ar",0.132506996510015,-0.00483439757607683
"az",0.373223469969783,-0.663773882851843
"ca",-0.168956302580287,0.461986865048838
"co",-0.202791532012224,0.0920784998673212
"ct",-0.214624053153189,0.111211040761273
"de",-0.0249444495824643,0.0129253835184211
"ga",0.00208148496273746,0.00251320583538041
"ia",0.114513351007968,0.207189792785226
"id",0.142169136397019,-0.148058367149878
"il",0.433253800851597,-0.0214045391585485
"in",0.562169202687777,-0.29129736949949
"ks",0.323788347759845,-0.16777634478389
"ky",-0.11629767844406,-0.140418984205572
"la",0.160166632725187,-0.119917504871524
"ma",0.169693949133405,0.204890177361564
"md",0.0155118897858908,0.289559209230278
"me",-0.73959427399351,0.303600544161455
"mi",-0.399992342386671,0.163479623487494
"mn",-0.182693192196373,0.235072042212768
"mo",-0.342609234645091,-0.101316938375538
"ms",-0.0678734469147879,-0.0511581588822228
"mt",0.0972555588189285,-0.593574368445497
"nc",0.183147837571813,0.210469674098111
"nd",0.150192660428309,0.333888579210489
"ne",0.505072364850384,-0.537685626844539
"nh",-0.21410904261536,0.110944179442266
"nj",-0.194527481063672,0.0375078663833728
"nm",0.142096974445447,0.171569313139039
"nv",0.00962585644581004,0.308166978270184
"ny",0.276398678560324,-0.19327484883489
"oh",-0.345803862051,0.0867544489261119
"ok",0.255517566311782,-0.132400698173557
"or",0.399929294604424,0.0128863700922004
"pa",0.314583157135748,-0.367782876523712
"ri",-0.186369900768454,0.0965706794114141
"sc",-0.00090953349898366,0.113668552613956
"sd",0.876606054649252,-0.845001876495571
"tn",-0.270065307455644,-0.0288262626164498
"tx",-0.412434345591426,0.34000524770577
"ut",-0.0379804544573171,0.861088145241041
"va",-0.00341384396079045,0.163818040421596
"vt",-0.752987031126876,-0.165181666027601
"wa",-0.515748080304757,0.267243488968973
"wi",0.695985200429643,-0.279173633149176
"wv",-0.86515572308822,-0.0196867441581219
"wy",-0.0261490978592332,0.011612092021461
