"","STATE..Intercept.","STATE.ACTIVED"
"al",-0.145724748755311,-0.0105491836365091
"ar",0.14403171046758,-0.00598065522344827
"az",0.272244933175836,-0.0413408061615887
"ca",-0.169411466163832,0.0527050925523222
"co",-0.174970009115017,0.00862061111601032
"ct",-0.221917833668785,0.0112552088878022
"de",-0.0265169735719408,0.00134488549969341
"ga",-0.11299890814056,0.00855093517373808
"ia",0.170436108558952,-0.00125654000832658
"id",0.154050910167734,-0.0238264447986153
"il",0.467550453526749,-0.00980746236480574
"in",0.590477369694272,-0.029947778551895
"ks",0.349322098530606,-0.0177168870256525
"ky",-0.0328675075796737,-0.0412115128930143
"la",0.195993718071454,-0.0118628750627299
"ma",-0.18114544561178,0.0540730732222828
"md",0.156004261149845,0.00155370261631731
"me",-0.95418196071328,0.0780910596855769
"mi",-0.468151926547296,0.0187484008947955
"mn",-0.253880733280481,0.0300076231321029
"mo",-0.368632696571035,-0.00175615729047073
"ms",-0.10675438592092,-0.00303633501350726
"mt",0.102792573945841,-0.0698278660685097
"nc",0.209594002008369,0.00387995521230003
"nd",0.243012376832449,0.0141633598501891
"ne",0.453994984012055,-0.0309763883627015
"nh",-0.267417810691775,0.0135628726628023
"nj",-0.28415506605475,0.0144117512869508
"nm",0.282261777591137,-0.00814812698017302
"nv",0.0226934070735954,0.0313004481023364
"ny",0.285340587909513,-0.00748023199456641
"oh",-0.340011801217819,0.00757431949157244
"ok",0.281549719547715,-0.0142796135552643
"or",0.511024173641824,-0.00898167618917292
"pa",0.330405079863202,-0.00867292934513827
"ri",-0.1259338525151,0.00638710189564411
"sc",0.00365133225177843,0.00126123613778821
"sd",0.862418083807638,-0.0787491643660627
"tn",-0.164662614476508,0.000649424651116726
"tx",-0.385333685096303,0.0229660555389596
"ut",0.254612272287637,0.0064410145658959
"va",0.0465926167942456,0.00163958491103201
"vt",-0.892279361664929,0.00495771742814707
"wa",-0.523169869107733,0.026534082742535
"wi",0.652074383985777,-0.014073214662529
"wv",-0.948033482282266,0.0260645388321183
"wy",0.106023203849643,-0.00726220653527239
