"","fdat.STATE..Intercept.","fdat.STATE.fdat.ACTIVE"
"al",0.0378154770111387,-0.486724777046755
"ar",0.307419282585181,0.0205511315094082
"az",0.225099829664168,-0.512213035835745
"ca",-0.391302738989881,0.612341835314418
"co",-0.285900074403859,0.0389046905649592
"ct",-0.082518803391692,0.0334477418542068
"de",0.171046966228045,-0.0693312861577062
"ga",0.108954090315427,0.13723099561334
"ia",-0.152885053147857,0.254017867500598
"id",0.059380754144993,-0.1090851279563
"il",0.344788106471443,0.101151339685389
"in",0.261778084182158,-0.106107764811519
"ks",0.248261251329858,-0.100628922204166
"ky",0.0663606637824627,0.0835832774526081
"la",0.382396642757444,0.0697202877328164
"ma",0.282731385616806,0.356108792492387
"md",0.409625075896285,0.0664012531807608
"me",-0.299965990336073,0.19820944274301
"mi",-0.192528381941159,-0.0336884644278382
"mn",-0.208633911133009,0.261651065804581
"mo",-0.44150979060482,-0.0640730063244177
"ms",0.197996258976019,-0.0812330721530483
"mt",-0.228565887503957,-0.77233044539375
"nc",0.318663676520217,0.0405588865367407
"nd",0.157098269901258,0.248401633216766
"ne",0.232589038270879,-0.293350266509195
"nh",-0.0204657097710067,0.00829546417480733
"nj",-0.12668850340514,-0.0452328177083483
"nm",0.0737297456704399,0.0928648605608172
"nv",-0.435429068943437,0.0895613886448404
"ny",0.319649293281706,-0.11150100671296
"oh",-0.524533428140635,0.100068450125692
"ok",-0.171508773663907,0.0695184727777997
"or",0.310373274769811,0.215230773578504
"pa",0.385086499477598,-0.257486767923713
"ri",0.0930217405584451,-0.0377049476863976
"sc",0.0126296452980028,0.0936311152844018
"sd",0.797238569727425,-0.697017141985425
"tn",-0.179592491165285,-0.166727612914668
"tx",-0.271159783969082,-0.0188374759310516
"ut",-0.214099163589115,0.525619034044387
"va",-0.0237674999364535,0.370318949190203
"vt",-0.429776198554685,-0.160811193212885
"wa",-0.532834417855471,0.215976326933271
"wi",0.50985786870473,-0.242328509586135
"wv",-0.869044281860338,0.223304295272558
"wy",-0.230881538835165,-0.160255729307273
