"","PTL","NTL","TURB","MMI_BENT","XCMGW","XFC_NAT"
"(Intercept)",4.24543724954839,7.74692374737232,1.251359601393,3.33300111899826,-0.863365509568484,-1.43140265775248
"XWIDTH",3.54015983326834e-05,-0.00562623144226277,-0.00943684897776837,0.00439943224344028,-0.00395870846444208,-0.0034230057582895
"XELEV",-0.000422976227723353,-0.000701017567068378,-0.000554810778196948,0.000108559527106453,-0.000298456625084131,0.00026748176892468
"ACTIVE",0.093306205696885,-0.456623096908964,0.162130981136152,-0.393948134894967,0.117189477047167,0.391564096202942
"as.factor(YEAR)2001",-0.545087057287444,-0.53796914858185,0.0160921693274652,0.0475089030085568,0.173897825221497,0.187061103017472
"as.factor(YEAR)2002",-0.400929483966514,-0.510193158700492,-0.0803666192773502,0.0898828158927424,0.302618038944956,0.0806990238963382
"as.factor(YEAR)2003",0.187982352228321,-0.498907311911798,0.934845226379072,-0.0724363533120557,0.27960014013226,0.0576566224019181
"as.factor(YEAR)2004",-0.180089398717762,-0.561260172168495,0.360169678391633,0.0562341330366636,-0.0190490317731007,0.0735719919457651
"as.factor(YEAR)2008",0.120723787856551,-0.425347960193325,1.09543784292326,0.0029769033722302,0.0734840377444756,0.00643849691206178
"as.factor(YEAR)2009",0.363400443069889,-0.571935754680014,0.422028653837544,-0.0973905985647105,-0.028255090629788,-0.117886088875398
"SQ_MILE",7.14343048987221e-05,6.96166202328284e-05,8.77442121986744e-05,-3.09049353854249e-05,1.4267149669409e-05,-5.09620673619855e-05
"STRAHLER",0.0162751730156067,-0.00501366729803715,0.10474203419641,0.0803126460535937,0.00201366698240111,-0.0631615720465157
"PURB",-0.0090850424581844,-0.0080084810099022,-0.0131979367426914,-0.000633860653098445,0.00322263153751337,-0.0110708360726237
"PWETL",0.00407013469621294,0.00671259367917436,-0.0084092119677303,0.00225962904108088,0.00140982524329571,0.00668777387243423
"PFOR",-0.0165532551493092,-0.0166984234466615,-0.0112113373069294,0.00312093221164663,0.0113412064667652,0.00521367601866215
"RDDENS",0.212684075408201,0.135271211174717,0.173949117733325,-0.181162340350103,-0.0596182658021474,-0.0507853797959612
"POPDENS",-0.000974645440004113,-0.000493320543934093,-0.000707089554497684,0.00108079640561723,0.000303659258614243,0.000610514523679392
"W1_HAG",0.328171021702824,0.167935218126772,0.3432859863667,-0.150384031515884,-0.519636462185469,-0.268330370110925
"W1_HNOAG",0.0157416098409343,0.0999603748237047,-0.0844393920436468,0.00774379877272032,-0.0317062721187958,0.111215749578069
"ACTIVE:MEM_TOTAL",-0.112058825922514,0.0876327302775167,-0.0972200436221707,0.0952629854122438,0.0122183298568732,-0.0151312668010742
"ACTIVE:TECH_BODY",0.312445376973051,-0.485775969238249,0.40410036880327,0.0919954570349612,-0.050814510854057,-0.330810055020289
"ACTIVE:CROSS_BOUND:TRANS_BOUND",0.115594153998284,0.0367606388987991,0.270388964426778,0.301379662311733,-0.332828187731835,0.113222249172172
