"","STATE..Intercept.","STATE.ACTIVE5"
"al",0.160495068259611,-0.122588661664115
"ar",0.368702992229629,-0.0703762200210192
"az",-0.36865144438196,-0.250059245724916
"ca",-1.21312587043895,0.212544121254686
"co",0.12634585774673,-0.0240982809124741
"ct",-0.176085329531875,0.0362325399589889
"de",-0.0924870444109532,0.019030776392431
"ga",0.359819410124199,0.0509566372059961
"ia",0.0452858237877318,0.0488130330914711
"id",0.16148077873915,-0.197670307996903
"il",0.206757886403678,-0.00711582895334643
"in",-0.0638636904462791,0.0131410363496775
"ks",0.972522727074648,-0.200113028515408
"ky",0.493694725750555,0.0384102576877908
"la",-0.250679918850857,0.111722426184307
"ma",0.0509810052308675,0.00721979002480606
"md",0.192336224762867,0.00684109312169636
"me",-0.44924319631963,0.195655026032016
"mi",-0.350452880434347,0.0827373082332465
"mn",0.0183086283460114,0.29980388691011
"mo",-0.454070499176718,0.0115713089275989
"ms",-0.073838058718233,-0.0368365786369308
"mt",-0.324511868696807,-0.29065216847395
"nc",0.135673403027912,0.0833734279120081
"nd",-0.114722233115618,-0.00750332393944571
"ne",0.122860860797941,-0.0252807037366015
"nh",-0.367797295742824,0.0756805251762761
"nj",-0.191838568842696,0.0394740358537933
"nm",0.237262389211923,-0.12238775478757
"nv",-0.0245521527511444,0.0262273226823018
"ny",-0.226685429434179,0.0576397295735614
"oh",0.0479435517956759,0.052426801146431
"ok",0.634902730687791,-0.130641993974588
"or",-0.854994665014645,0.0296868971967478
"pa",-0.329315876058949,0.164349640644195
"ri",-0.500454342181342,0.10297696008487
"sc",0.343676468304073,-0.0707172562523865
"sd",1.4298461647183,-0.422460498963813
"tn",0.229058094922609,-0.0911968595907903
"tx",0.16216012639498,-0.0333671934793252
"ut",0.418634938865004,0.0749785263383808
"va",0.347668170453931,-0.0412272198902091
"vt",-0.653929620857,0.0595345074641857
"wa",-1.21330493325051,0.249658047000898
"wi",0.45867966671462,-0.131551998420509
"wv",-0.130676410775404,0.0239072470983457
"wy",0.700183635078931,0.101252214387829
