"","STATE..Intercept.","STATE.ACTIVE5"
"al",0.119112648016041,-0.150870651056994
"ar",0.361981369466142,-0.0828517282070082
"az",-0.354681309803857,-0.217644532180037
"ca",-1.23622246505372,0.200527086996533
"co",0.122241330106622,-0.045185084832427
"ct",-0.181005194008892,0.0370601098609884
"de",-0.0873866384793352,0.0178920745349857
"ga",0.301843298785274,0.0314832997569747
"ia",0.0404132552875086,0.0209527964398125
"id",0.163797857662248,-0.176171412334977
"il",0.208987773366338,-0.00459356847541473
"in",-0.0638279489580793,0.0130685244340103
"ks",0.982237569153356,-0.201109324081746
"ky",0.518976644548441,0.0357923050967087
"la",-0.294047194083171,0.0850330337004954
"ma",0.176467265176388,0.0184061459346628
"md",0.192212540673497,0.00632179333688378
"me",-0.44737133061819,0.190967429679393
"mi",-0.327780316355779,0.0900106534875197
"mn",0.0197926058723722,0.264400017655078
"mo",-0.449037655556746,0.0137289282765422
"ms",-0.0664126357619668,-0.0306675412433729
"mt",-0.312567968825271,-0.236602149334504
"nc",0.126730687529562,0.0664353824773416
"nd",-0.115733282204007,-0.0199099324659932
"ne",0.126586287157777,-0.0259180502230858
"nh",-0.368166470546116,0.0753806536894246
"nj",-0.192479266800686,0.0394093816625256
"nm",0.222116965169075,-0.124458166939772
"nv",-0.0520722063571783,0.0223019681379505
"ny",-0.200755527312306,0.0822076547042149
"oh",0.00393105472624192,0.0209966947319147
"ok",0.637081721364825,-0.130440005953907
"or",-0.837904184620663,0.0534042818602507
"pa",-0.30593350678005,0.210123598239202
"ri",-0.53996156107513,0.110555030664877
"sc",0.347587313808764,-0.0711671513437665
"sd",1.46181129666941,-0.404110370225868
"tn",0.220311000418177,-0.0853994961716031
"tx",0.164815122520784,-0.0337452556586441
"ut",0.403964549650182,0.0508315849922947
"va",0.347448074679588,-0.0474231812133721
"vt",-0.677533192707995,0.0622352513739523
"wa",-1.23338253498819,0.252530279573311
"wi",0.453787625037725,-0.127507434965598
"wv",-0.13215496055127,0.0272123838987006
"wy",0.752181494600117,0.116506691711992
