"","STATE..Intercept.","STATE.ACTIVED"
"al",0.137948736232294,-0.0225977782430401
"ar",0.385529593633893,-0.0183869064390686
"az",-0.304270287135354,-0.0290399807544402
"ca",-1.25503348280079,0.0296562575388152
"co",0.125972899470442,-0.000594579263639651
"ct",-0.183906365421747,0.0062267458169549
"de",-0.082915459210575,0.00280737149916667
"ga",0.227267699643026,0.0061689720377137
"ia",0.0409621470196169,0.00573914421136844
"id",0.149153920066062,-0.0223584743098571
"il",0.124200453353648,0.0083062812053207
"in",-0.0594692833560112,0.00201352525523057
"ks",0.995049916123235,-0.0336906386501237
"ky",0.58001413896046,-0.0162410128078303
"la",-0.307270700650574,0.0138244614806665
"ma",-0.0596381124720167,0.030760628827485
"md",0.207552453875375,0.00267995403214528
"me",-0.483922311009733,0.0350116909819166
"mi",-0.398188384533524,0.0144469893926138
"mn",-0.115958084572013,0.0456930623074187
"mo",-0.378826958439674,-0.00689194792060102
"ms",-0.0740723666135928,-0.00219168288312929
"mt",-0.163610326948387,-0.0504736928744657
"nc",0.0421803293177411,0.0152231057058537
"nd",-0.132222817464564,0.00560247364900111
"ne",0.171911203187058,-0.0116381810616104
"nh",-0.384352039645369,0.0130134835170686
"nj",-0.19075718653647,0.00645870256092613
"nm",0.219943020073674,-0.0130883885736562
"nv",-0.0966615041128967,0.0149689393068359
"ny",-0.143102360144154,0.0066650894335896
"oh",-0.00423299368825537,0.00315029838352017
"ok",0.652215662519264,-0.0220828742878525
"or",-0.649651697960215,-0.0179599701644507
"pa",-0.34043776901217,0.0338557985205428
"ri",-0.532854690425055,0.0180415218746782
"sc",0.360666406468534,-0.00915702839319678
"sd",1.5640846139341,-0.0770488063626416
"tn",0.180511062907767,0.00341187542072582
"tx",0.184608423460812,-0.000990652741900296
"ut",0.39101078970181,0.00205228805512054
"va",0.388402312572374,-0.0145561924463053
"vt",-0.632330348949309,0.0020855926165622
"wa",-1.23658302147158,0.0418685244450766
"wi",0.425177855181686,-0.0108390577551535
"wv",-0.108262759871547,-0.000611858603541771
"wy",0.764167674741941,0.010706926460211
