"","STATE..Intercept.","STATE.ACTIVE5"
"al",0.080232710763651,-0.0813523224319503
"ar",-1.62787210576932e-05,0.00375044752776839
"az",-0.245145376790389,0.217726164695801
"ca",0.0947870157644552,-0.0784847300896035
"co",-0.0593026688414509,0.0553760962733256
"ct",0.00528440431343607,-0.00509070653298773
"de",-0.137048350117009,0.132024896259726
"ga",0.00741670037114618,0.0241016273233342
"ia",0.00593935491531275,-0.0023330522228823
"id",-0.0340476830061618,0.0316773900934834
"il",-0.0228144429343476,0.0281756470345861
"in",0.0507233490353728,-0.0488641044465216
"ks",0.0776316841191304,-0.0747861249956339
"ky",0.0475411301389809,-0.037792027395328
"la",0.0110424171515102,0.0106598986719546
"ma",-0.00059197066882174,-0.00192369325067952
"md",0.0674135122067362,-0.0744589961448739
"me",0.0458433538100695,-0.0507385114396019
"mi",0.0322294228373778,-0.0340588937313983
"mn",-0.089544821930322,0.0554986652909845
"mo",0.0655215952601843,-0.0654458277115028
"ms",0.0771816869869807,-0.0754058368277439
"mt",-0.0378709452275723,0.0505599091633593
"nc",0.147814003363916,-0.150505392817848
"nd",-0.0329654725882014,0.0400711526935353
"ne",-0.130751497976378,0.125958852780035
"nh",0.0560183492073898,-0.0539650184510238
"nj",-0.0491275094552644,0.0473267597442242
"nm",-0.0689422696156212,0.0545732459154216
"nv",0.0597246758166704,-0.0517243864938668
"ny",-0.040952558606692,0.0322232935986965
"oh",0.00488497964976893,-0.0106704507130162
"ok",-0.0403103515351311,0.0388327913110592
"or",-0.0762017642757945,0.107745603476401
"pa",0.066536395076173,-0.050927966456875
"ri",0.0345579516600555,-0.0332912434113369
"sc",-0.0552333328826016,0.053208776593651
"sd",-0.24558972777212,0.256880117948075
"tn",0.0167017409857497,-0.0505146723716092
"tx",0.100995386552253,-0.097293440022357
"ut",0.140165720505125,-0.150548320949149
"va",0.0162315669179519,-0.00927708420092877
"vt",0.0197688604546874,-0.0312711525836221
"wa",0.0187610399303723,-0.0180733613240673
"wi",0.0981890942842779,-0.108459870794978
"wv",-0.027741347063927,0.0330748970078591
"wy",-0.0549397320696439,0.0478109544078801
