"","STATE..Intercept.","STATE.ACTIVED"
"al",0.085493067806202,-0.00878845179349063
"ar",0.00603188936013984,-0.000391533269340936
"az",-0.244299500246998,0.0215902528509403
"ca",0.112605672942596,-0.0103459975383139
"co",-0.0385875722846427,0.00267010127406829
"ct",0.00764315144861099,-0.000757251898318889
"de",-0.156671894158684,0.0155224046079108
"ga",0.0810754736670789,-0.00592084752137658
"ia",0.00616598382362652,-0.000152161447613283
"id",-0.0480841401541395,0.00515368839480175
"il",-0.0235614272960963,0.00264281683868603
"in",0.0538852772324115,-0.00533873085598726
"ks",0.0838196939077664,-0.00830450930547757
"ky",-0.0147073008638124,0.00348546069404306
"la",-0.0254854045936411,0.00498597627929905
"ma",0.041783341743958,-0.00489784484760612
"md",0.0605523370207601,-0.0065796853506425
"me",0.0621415209956272,-0.00716745091542461
"mi",0.06468621978464,-0.00743533403474022
"mn",-0.123840335147312,0.00990103764655754
"mo",0.0627230366905741,-0.00601814103537542
"ms",0.0822002810988319,-0.00818588935629457
"mt",-0.0329018304415042,0.00432269428789938
"nc",0.166715662122653,-0.0175469487234334
"nd",-0.0333102361783192,0.00377501846457394
"ne",-0.13621691782219,0.0134143736986358
"nh",0.066761881220971,-0.00661449163081913
"nj",-0.0524771155246595,0.00519921600618942
"nm",-0.114878339968493,0.0113212087225394
"nv",0.0758343014698665,-0.00733578406942788
"ny",-0.0709179648666619,0.0071781800566973
"oh",0.00311499905268587,-0.000829998195755886
"ok",-0.0380860601424365,0.00377340963819169
"or",-0.107288024276496,0.0143772260756529
"pa",0.0314181731958556,-0.000456396550661267
"ri",0.035150314472698,-0.00348254807456338
"sc",-0.0660512072161229,0.00656743371161678
"sd",-0.260016198960494,0.0275550139902898
"tn",0.06031979327317,-0.0102904793630387
"tx",0.10396358506368,-0.00997760374950521
"ut",0.145277189759364,-0.0158300584596125
"va",0.0185548580824826,-0.00111944072859166
"vt",0.013049517308436,-0.00244705935303843
"wa",0.0269528447014997,-0.0026703766047988
"wi",0.111927915175838,-0.0128592715481934
"wv",-0.0408262911816955,0.00498984943897335
"wy",-0.0416402210982831,0.00331892354394098
