"","STATE..Intercept.","STATE.ACTIVE0"
"al",0.0557715789620264,-0.0327043291105788
"ar",0.00511404656732184,-0.00407783599265218
"az",-0.238831671300109,0.1478741938652
"ca",0.116136245987065,-0.0732418382437826
"co",-0.00769502092350878,-0.0204915160321319
"ct",0.00284331883637721,-0.0019398223897844
"de",-0.141690512943561,0.0966667634707333
"ga",0.0567266552397887,-0.0177893409513072
"ia",-0.00629363072211891,0.0150972078997882
"id",-0.00937320516725331,-0.00176952620034836
"il",-0.0183642258653788,0.0192492241788791
"in",0.0525226003411934,-0.0358329550692809
"ks",0.0804250763731142,-0.0548691064303806
"ky",0.0289225251008262,-0.00907003344400298
"la",0.0300310569314264,-0.00405316845012371
"ma",-0.00581817136521904,0.00182456437263054
"md",0.0462535276523529,-0.0357604241801048
"me",0.043028713258821,-0.0344358656327735
"mi",0.0264104632930329,-0.0212054501083317
"mn",-0.144451356459763,0.0870984996744328
"mo",0.0505991377133761,-0.0292024791152635
"ms",0.064590016536628,-0.0417364271261607
"mt",-0.0211006845874349,0.0258583596498953
"nc",0.10692053695435,-0.0701390893320137
"nd",0.0120104398322378,-0.0162817495754089
"ne",-0.128484625590284,0.0847950504817099
"nh",0.0517998288490421,-0.035339852324265
"nj",-0.0592564887275087,0.0398226158424753
"nm",-0.0534288916651161,0.0167551703244886
"nv",0.0774334737628066,-0.0476052586872177
"ny",-0.0615645442914704,0.037498255568741
"oh",-0.00270165535013772,-0.00277047490707274
"ok",-0.0398021632775452,0.0271545795356569
"or",-0.0442874701076478,0.0611495385745176
"pa",0.0714726589875943,-0.0396997927046518
"ri",0.0322662420535907,-0.0220132817920299
"sc",-0.0620981992001923,0.041749259469435
"sd",-0.250301595897243,0.184557180985014
"tn",0.00341030755544591,-0.0375742247010272
"tx",0.092700484575891,-0.0517004636762748
"ut",0.13692358095424,-0.102100432292858
"va",0.00652309614030353,0.0053304238205608
"vt",0.0262945647735776,-0.0330290963820269
"wa",0.0224260887796245,-0.0152999475730399
"wi",0.0861059421585238,-0.071217741487733
"wv",-0.0448276207366288,0.0411476385013739
"wy",-0.0452904739925296,0.0293229976971435
