"","STATE..Intercept.","STATE.ACTIVED"
"al",0.0945013261768129,-0.0101300582719873
"ar",0.00787005551841346,-0.000668787418847064
"az",-0.251130291372006,0.0225322028233895
"ca",0.115614874355121,-0.010764760901823
"co",-0.0367307432429281,0.00219403073450119
"ct",0.00659526334108824,-0.000655389207062115
"de",-0.159396173664472,0.0158396301199788
"ga",0.0824841431936264,-0.00618811421626336
"ia",0.00400855599359629,0.0000784348301072547
"id",-0.0452065607074914,0.0045131994416889
"il",-0.0272161941749408,0.00314709277280567
"in",0.0533204400629519,-0.00529859675433292
"ks",0.0817532156200742,-0.00812403878192642
"ky",-0.0165403259869358,0.00355288480925323
"la",-0.0094539242087467,0.00289302225208378
"ma",0.0510109887186889,-0.0060351647880335
"md",0.0633402192909314,-0.0070395634876307
"me",0.0578265292220832,-0.00642647471875198
"mi",0.065483611463551,-0.00760528921637067
"mn",-0.129113976898991,0.0107332056541477
"mo",0.0586518522276828,-0.00524462240495024
"ms",0.0842351103895645,-0.00842658105261463
"mt",-0.0200198433037491,0.00274907218888717
"nc",0.16549980735406,-0.0170584074089929
"nd",-0.0355528283972436,0.00426513477665288
"ne",-0.138026356475499,0.0136390169450928
"nh",0.0654482595457078,-0.00650377107158532
"nj",-0.0540924438624955,0.00537531286586098
"nm",-0.118316663885572,0.0116238156105648
"nv",0.0750374102174986,-0.00690212710111488
"ny",-0.072406254006781,0.00725994757737273
"oh",0.00166741997309596,-0.000760851777004505
"ok",-0.0390902936112507,0.00388450850386749
"or",-0.109822857018363,0.0151809889872418
"pa",0.0215957433889258,0.0011987838454783
"ri",0.0363249052481921,-0.0036097043614472
"sc",-0.0674546757846544,0.00672344638069976
"sd",-0.260406197121715,0.0274694866672673
"tn",0.0619426251040689,-0.0106348170223942
"tx",0.104350867249174,-0.0100161038123752
"ut",0.146295752977311,-0.016202720754623
"va",0.019913417571156,-0.00115473663157615
"vt",0.0109653925269183,-0.00239898856657778
"wa",0.0282535429040161,-0.00280763119270733
"wi",0.110204343896318,-0.0126434541976212
"wv",-0.0420827489826023,0.00509717785647287
"wy",-0.0421363208237772,0.00335035947515818
