"","STATE..Intercept.","STATE.ACTIVE0"
"al",0.0513600091186887,-0.0301092492006187
"ar",0.00376822974798463,-0.00213789041507613
"az",-0.238287451291452,0.151107446901037
"ca",0.115192853553053,-0.0741568292030684
"co",-0.00690141945120194,-0.0143453797998024
"ct",0.00343480981076915,-0.00236321504309274
"de",-0.141764617982624,0.0975367767800259
"ga",0.0596757807422703,-0.0242927590824035
"ia",-0.00568154007739788,0.0118200271093357
"id",-0.00732005193951224,-0.000417621112359201
"il",-0.0187733036140181,0.017467602949303
"in",0.0532755323260543,-0.0366545882764648
"ks",0.0815173573536535,-0.0560855056857376
"ky",0.0258331205412109,-0.0105161217138434
"la",0.0290268520195684,-0.00696996299799328
"ma",-0.00534908454965187,0.00217750016270932
"md",0.0484208135100603,-0.0354071160269969
"me",0.0454756501469091,-0.0362533335786323
"mi",0.0265360554150934,-0.021494992958862
"mn",-0.144084780418721,0.0901645242996563
"mo",0.0501998337756356,-0.0312239697804672
"ms",0.0646185800549166,-0.0424157847305046
"mt",-0.0216132934418428,0.0227232319568853
"nc",0.105946364868947,-0.0715275163058618
"nd",0.0117328729968015,-0.0154914005906056
"ne",-0.128110092054203,0.0859816894306828
"nh",0.0534566360248113,-0.0367791910954973
"nj",-0.0589938938444289,0.0402501177032131
"nm",-0.053658611586934,0.0218432956848494
"nv",0.0770944707465076,-0.0496520647686432
"ny",-0.0630832360269907,0.0393726730214038
"oh",-0.00264723197419054,-0.00167118269875214
"ok",-0.0396250264909192,0.0272627783910165
"or",-0.0455417358176701,0.0544145310301719
"pa",0.0711725717611565,-0.0418526653497627
"ri",0.031969344966233,-0.0219955226356783
"sc",-0.0619224052322156,0.0423181444083191
"sd",-0.249922236662191,0.18429422202887
"tn",0.00411933067686778,-0.0283324620640015
"tx",0.0927745845488462,-0.055434127423151
"ut",0.137652643066325,-0.0998585974787978
"va",0.00699372947013216,0.00215013530740202
"vt",0.0269391257813879,-0.0297863337747517
"wa",0.0212878685347044,-0.0146464619376782
"wi",0.0858273040187398,-0.0689947668774473
"wv",-0.0437105302127754,0.0388481413897075
"wy",-0.0483117829082632,0.0311337740518744
