"","STATE..Intercept.","STATE.ACTIVED"
"al",0.0831721164107032,-0.00836638229944819
"ar",0.0044892646998405,-0.000253617405409104
"az",-0.242213416808492,0.0222202717637749
"ca",0.110580630594289,-0.0103399939246826
"co",-0.0375037919364214,0.00291043179291344
"ct",0.00749699128244233,-0.000745022077672209
"de",-0.155718397419772,0.0154746937280245
"ga",0.0794675788584469,-0.00655031118025023
"ia",0.00608189258403529,-0.000308289163186302
"id",-0.0474011121178557,0.00492749403195565
"il",-0.02240150464743,0.002472395890129
"in",0.0529785211327097,-0.00526480109143651
"ks",0.0833796276863086,-0.00828594580333456
"ky",-0.0170878631688329,0.00305295689119213
"la",-0.029006799757463,0.00454561451998142
"ma",0.0440407011247375,-0.00490824207256367
"md",0.0570632815863072,-0.00599445422782606
"me",0.061349314097702,-0.00672615573078891
"mi",0.0668238463154992,-0.00750131049517473
"mn",-0.123716303927854,0.0108476998681477
"mo",0.0630744714771013,-0.00621120106718009
"ms",0.0821605520440131,-0.00816052457010274
"mt",-0.0320291562041567,0.00386142107462636
"nc",0.165459432762013,-0.0171924217821538
"nd",-0.0333207711478451,0.00357983084653642
"ne",-0.134262182639351,0.0132923593457846
"nh",0.0666923019453234,-0.00662762373439232
"nj",-0.0520168616447909,0.00516923508065825
"nm",-0.113812911162653,0.011257983822514
"nv",0.076285253455919,-0.00761592975849408
"ny",-0.0699544439758785,0.00688939737267494
"oh",0.00353283293725339,-0.000780726562164382
"ok",-0.038083875199116,0.00378462862736733
"or",-0.108033461021584,0.013430970473364
"pa",0.034654122964515,-0.00177592253626741
"ri",0.034326680984177,-0.00341125315782563
"sc",-0.0642866628196101,0.00641528318917681
"sd",-0.258793942196939,0.026964810081247
"tn",0.0588857664339131,-0.00844967230725308
"tx",0.102255981884793,-0.00994972944471832
"ut",0.146383656215243,-0.0154087717342909
"va",0.0188759138980579,-0.00136861360077586
"vt",0.0129161455155054,-0.00200667893169717
"wa",0.0254241934381904,-0.00252655828249677
"wi",0.113125703631518,-0.0125379808845253
"wv",-0.0401999959334263,0.00469231294040119
"wy",-0.0411333222315822,0.00347834248569074
