"","X.Intercept."
"al",-0.026904662427506
"ar",-0.0253231509244743
"az",-0.0677121273715223
"ca",-0.0125854828838293
"co",-0.0269926441856829
"ct",-0.00475264560397544
"de",0.0511930571687728
"ga",0.0250582921058112
"ia",-0.0904317896324309
"id",0.030166026954713
"il",-0.0721252899347325
"in",-0.0362602197417461
"ks",0.0108247714338527
"ky",-0.0202051212697838
"la",0.0239949386877515
"ma",0.0344051500419942
"md",-0.0738427926503912
"me",0.059982957281125
"mi",-0.00499314666616309
"mn",0.0319853255802936
"mo",-0.0237055974822405
"ms",0.0454844211811348
"mt",0.124034071409418
"nc",-0.00810704827386033
"nd",-0.0834861463970175
"ne",-0.0181170789332917
"nh",0.108783603182398
"nj",-0.0302515326786781
"nm",-0.0127708542874568
"nv",0.0586430929157938
"ny",0.000459881885204852
"oh",-0.0706843436577745
"ok",-0.0670736121313622
"or",0.0824173453637524
"pa",0.102087086058744
"ri",0.0593975788644281
"sc",0.00571589384531773
"sd",-0.0499825397106873
"tn",0.0453827710284224
"tx",0.0356711390698997
"ut",0.154541631084777
"va",-0.0108818685736348
"vt",-0.0291177436254832
"wa",-0.00312836655061306
"wi",-0.117737015165258
"wv",-0.037733534202078
"wy",-0.065322680181941
