"","fdat.STATE..Intercept.","fdat.STATE.fdat.ACTIVE"
"al",-0.0599624803705245,-0.0877140093896313
"ar",-0.0235335301252283,-0.0344251983843909
"az",-0.0531462575211792,-0.0777431370822344
"ca",0.0444664764163547,0.0650462240021883
"co",-0.010170102031434,-0.0148769767288882
"ct",-0.0205058637261697,-0.0299962828806513
"de",0.0675889971965286,0.0988701917949066
"ga",-0.0374131708422282,-0.0547285435537826
"ia",-0.144868628447267,-0.211915987420243
"id",0.135241048613023,0.197832620241932
"il",-0.120619600612333,-0.176444148329204
"in",0.00941465665976107,0.0137718999873189
"ks",0.016744390454501,0.0244939437540633
"ky",-0.0369329052343318,-0.054026003869296
"la",0.0135345813749193,0.0197985872243533
"ma",0.0572663983159393,0.0837701404037287
"md",-0.198452251114489,-0.290298908752389
"me",0.0696369607072718,0.101865983321557
"mi",-0.0313737574176873,-0.0458939996430799
"mn",0.028791063096492,0.0421159959224194
"mo",0.000228594277494279,0.00033439111388737
"ms",-0.00436859820500656,-0.00639045052182054
"mt",0.215526407937652,0.315275239662194
"nc",-0.0213057973554936,-0.0311664377081372
"nd",-0.21701096889853,-0.317446877547373
"ne",-0.0823622452099552,-0.120480719027233
"nh",0.141577382799982,0.207101504266349
"nj",-0.0078595553693907,-0.0114970746575044
"nm",-0.00862269087305658,-0.0126134006386927
"nv",0.182078505208124,0.266347149363857
"ny",0.0333453630330555,0.0487780937030727
"oh",-0.0676682262704419,-0.0989860892642944
"ok",-0.0654392894616361,-0.0957255673017541
"or",0.125250573844762,0.183218404949049
"pa",0.137953566322017,0.201800531547903
"ri",0.0474169700271169,0.0693622500017675
"sc",0.0104253150718972,0.0152503061657163
"sd",-0.27861064031767,-0.407555794387856
"tn",0.0516141650423569,0.0755019693846543
"tx",0.119096473601415,0.174216095451608
"ut",0.239096124623086,0.34975337228583
"va",0.0419939320673811,0.0614293493015087
"vt",-0.0813611769687523,-0.119016341493716
"wa",0.0130942013693612,0.0191543927930383
"wi",-0.16548348299388,-0.242071703696388
"wv",-0.0315437564651359,-0.0461426767817172
"wy",-0.0327671722287239,-0.0479323075827061
