"","STATE..Intercept.","STATE.ACTIVE0"
"al",-0.0203727918962068,0.00747961040429714
"ar",-0.0171307959318603,0.00628933169948614
"az",-0.0966775700346213,0.0354939760758618
"ca",-0.00569435797952081,0.00209056489084275
"co",-0.00838588449169632,0.00307858195717929
"ct",0.000480411378271649,-0.000176377163044314
"de",0.0684401366416652,-0.0251269592794624
"ga",0.0123113224807929,-0.00451992976597307
"ia",-0.0921477129031608,0.033830862689605
"id",0.0461751889125959,-0.0169527198050879
"il",-0.101599343260536,0.0373009092788518
"in",-0.0342318412867558,0.0125678019402096
"ks",0.0163068974848015,-0.00598687801019862
"ky",-0.0503700932402362,0.0184926748614191
"la",0.0102503629058823,-0.00376319585592901
"ma",0.0294395433263472,-0.0108083163595956
"md",-0.102997842735973,0.0378143768074455
"me",0.0590470244061629,-0.0216781961194135
"mi",-0.0185689758360745,0.00681738258572776
"mn",0.0191095430274604,-0.00701575226566185
"mo",-0.0318068448509909,0.0116775070886293
"ms",0.0498384430455523,-0.0182975555778963
"mt",0.13522864926953,-0.049647246265522
"nc",-0.017867603261305,0.0065598724721122
"nd",-0.104858732465615,0.0384974828560888
"ne",-0.0216218930675699,0.00793820872049599
"nh",0.143406202299714,-0.0526498335979883
"nj",-0.0314854747080192,0.0115594703039318
"nm",-0.0260672092998605,0.00957021111372118
"nv",0.064232104833685,-0.0235819517675316
"ny",0.00451345016801174,-0.00165721446157951
"oh",-0.0780039051700714,0.0286382551320245
"ok",-0.0642955229206183,0.02360531503227
"or",0.102573962445192,-0.037658758837289
"pa",0.109099369549713,-0.040054285068055
"ri",0.0816030878561852,-0.0299595758608186
"sc",-0.000353541481926029,0.000129820367896552
"sd",-0.0621181649561741,0.0228060484937705
"tn",0.0571488943275605,-0.0209815044425398
"tx",0.0466626370848815,-0.0171315832048287
"ut",0.206105400513514,-0.0756692046202324
"va",0.000626139295661416,-0.000230009202846499
"vt",-0.0287474811814152,0.0105541959160446
"wa",0.00908301910836124,-0.00333471939814086
"wi",-0.118838407559311,0.0436300444694263
"wv",-0.0317392714505353,0.0116526393473685
"wy",-0.10570052839146,0.038806622424919
