"","STATE..Intercept.","STATE.ACTIVED"
"al",-0.0117563064417427,0.000295538370032188
"ar",-0.0161861536900246,0.000406899012259642
"az",-0.0882987182742211,0.00221971581005932
"ca",-0.00980341657634582,0.000246445239444672
"co",-0.0179506499627883,0.000451256171048815
"ct",0.00162707282107565,-4.09025106554413e-05
"de",0.058333325171233,-0.00146642450385615
"ga",0.0136750675776459,-0.000343773548478158
"ia",-0.0811624465504858,0.00204031914971342
"id",0.0346797440575917,-0.000871804004437186
"il",-0.0833565443702521,0.00209547593695363
"in",-0.0277189019749965,0.000696817418804831
"ks",0.0173960230523691,-0.000437313566452074
"ky",-0.0384983612349636,0.000967799111558464
"la",0.00192770250097467,-4.84599527166961e-05
"ma",0.00139232528982576,-3.50012607082057e-05
"md",-0.075076314651545,0.00188732164916985
"me",0.0587557177774532,-0.00147704290870737
"mi",-0.0119794151482696,0.000301147034841721
"mn",0.0177865697117117,-0.00044713140535005
"mo",-0.0249349812238689,0.000626833244327448
"ms",0.0466495977252922,-0.00117271067606284
"mt",0.119464903527357,-0.00300319348092237
"nc",-0.012608253456063,0.000316955218360318
"nd",-0.0928006017894361,0.00233288735101985
"ne",-0.015205006560115,0.000382234239786987
"nh",0.127794785553765,-0.00321259596381622
"nj",-0.0226216496296585,0.000568679073877632
"nm",-0.0212670655142366,0.000534626577610186
"nv",0.0475634939526746,-0.00119568484763915
"ny",0.00549789496822645,-0.000138209983434159
"oh",-0.0693920826253286,0.00174442739272054
"ok",-0.059451682442294,0.00149453856218448
"or",0.0877201078686981,-0.00220517029130959
"pa",0.0766354423601031,-0.0019265161072593
"ri",0.0705896440856059,-0.00177453254210622
"sc",0.00648041012790471,-0.000162909146330038
"sd",-0.0493816795651639,0.00124139168725498
"tn",0.0465846120127298,-0.00117107701913305
"tx",0.0474739729339954,-0.00119343440479514
"ut",0.177143348171368,-0.00445315513379145
"va",0.000515970693181295,-1.29708372780726e-05
"vt",-0.0215808830015462,0.000542515544154465
"wa",0.00428530161712026,-0.000107726951606361
"wi",-0.111557865162296,0.0028044207422045
"wv",-0.0291051855871342,0.000731666799515305
"wy",-0.0782788681252073,0.00196782970994408
