"","STATE..Intercept.","STATE.ACTIVE0"
"al",-0.0248884106296722,0.00984167581014037
"ar",-0.0166778256898369,0.00659494716261792
"az",-0.0973946493843692,0.0385129684672633
"ca",-0.00572924378905191,0.00226552653546616
"co",-0.00542381191507167,0.00214474852569524
"ct",0.00123283041874999,-0.000487500693462497
"de",0.0699341041716253,-0.0276541880876965
"ga",0.0147312939662393,-0.00582522607762082
"ia",-0.0901983510182483,0.0356673211509243
"id",0.0395733283922267,-0.0156485637726886
"il",-0.106539695013699,0.0421292126805981
"in",-0.0347543047232039,0.0137429669123087
"ks",0.0163121111632043,-0.00645033200264676
"ky",-0.0496630366010854,0.0196383574019692
"la",0.0106795674603561,-0.00422304318824694
"ma",0.0153984820081707,-0.00608905362660886
"md",-0.100757766188795,0.0398428527072309
"me",0.0567747903368137,-0.0224505725990024
"mi",-0.0219467795918614,0.00867846063366103
"mn",0.0222014684441477,-0.00877917242476759
"mo",-0.0305936995924178,0.012097730246554
"ms",0.0515270497060244,-0.0203754482132299
"mt",0.13079558821205,-0.0517207701040494
"nc",-0.0178947082018531,0.0070761416693527
"nd",-0.100415731717066,0.0397076009723907
"ne",-0.0223241934444821,0.00882770218722237
"nh",0.143318430826114,-0.0566727048189879
"nj",-0.03369915144432,0.0133257252885271
"nm",-0.0228034211766095,0.00901720405562358
"nv",0.0644096365121986,-0.025469636035428
"ny",0.0167068154595554,-0.00660641118348452
"oh",-0.0771103981882463,0.0304919252339165
"ok",-0.0635775393786409,0.0251405984670241
"or",0.104292027813429,-0.0412404131348072
"pa",0.107615045409434,-0.0425544401296078
"ri",0.0843774978266305,-0.0333655692441626
"sc",-0.00595041236441599,0.00235298396582056
"sd",-0.0622515028544494,0.0246162415220635
"tn",0.0603948825160201,-0.0238820737756644
"tx",0.0480192054495938,-0.0189883340098888
"ut",0.207850164340478,-0.0821906227357352
"va",0.00283305947471476,-0.00112028296355459
"vt",-0.0364095913846304,0.0143975199289402
"wa",0.0105066826713498,-0.00415467935441343
"wi",-0.120027004858486,0.0474625277954476
"wv",-0.0313196088232664,0.0123847778332346
"wy",-0.101133224605424,0.0399913210217921
